Payment_type, Month, Tips_average_amount	
1,2020-01,2.98566101433	
2,2020-01,0.000341215813481	
3,2020-01,-0.00221520339345	
4,2020-01,0.0241492305989	
5,2020-01,0.0	
1,2020-02,2.97182318873	
2,2020-02,0.000350013416244	
3,2020-02,-0.00295760598504	
4,2020-02,0.0236957474792	
1,2020-03,2.90495615303	
2,2020-03,0.000712944950218	
3,2020-03,-0.000942322361087	
4,2020-03,-0.0413196025668	
1,2020-04,2.52249113063	
2,2020-04,0.000165763161065	
3,2020-04,0.00778006872852	
4,2020-04,0.0122013034033	
1,2020-05,2.58846143259	
2,2020-05,0.000287834207496	
3,2020-05,-0.00205740411481	
4,2020-05,0.0094688221709	
1,2020-06,2.74240591481	
2,2020-06,0.000416930553007	
3,2020-06,-0.00211248808389	
4,2020-06,0.0280395604396	
5,2020-06,0.0	
1,2020-07,2.65458933361	
2,2020-07,0.00023676897895	
3,2020-07,-0.00292711541282	
4,2020-07,0.00939311594203	
1,2020-08,2.6577153022	
2,2020-08,0.000159909101365	
3,2020-08,-0.0194435097709	
4,2020-08,0.00378726448843	
5,2020-08,0.0	
1,2020-09,2.64891268453	
2,2020-09,0.000188627020223	
3,2020-09,-0.0018243559719	
4,2020-09,0.00923701942132	
1,2020-10,2.63277732685	
2,2020-10,0.000201526204768	
3,2020-10,-0.000202582134985	
4,2020-10,0.00352931542745	
1,2020-11,2.62147128727	
2,2020-11,0.000333788165978	
3,2020-11,-0.00297343131713	
4,2020-11,-0.00328318288198	
5,2020-11,0.0	
1,2020-12,2.6517298325	
2,2020-12,0.000192276964048	
3,2020-12,-0.00422360248447	
4,2020-12,0.023106811389	
